bottle,timestamp,species,density,PPM_conc,light,replicate
b_301,20221010,Loxocephalus_sp,877.290648,0.55,1,r1
b_301,20221010,Paramecium_caudatum,111.853224,0.55,1,r1
b_301,20221010,Coleps_sp,102.887552,0.55,1,r1
b_301,20221010,Stylonychia_sp,123.474192,0.55,1,r1
b_301,20221010,Colpidium_striatum,203.072876,0.55,1,r1
b_301,20221010,Euplotes_daidaleos,26.48198,0.55,1,r1
b_301,20221010,Paramecium_bursaria,23.966128,0.55,1,r1
b_302,20221010,Coleps_sp,79.356184,0.55,3,r1
b_302,20221010,Colpidium_striatum,140.28602,0.55,3,r1
b_302,20221010,Paramecium_caudatum,328.700072,0.55,3,r1
b_302,20221010,Euplotes_daidaleos,33.458484,0.55,3,r1
b_302,20221010,Loxocephalus_sp,332.933016,0.55,3,r1
b_302,20221010,Paramecium_bursaria,104.171692,0.55,3,r1
b_302,20221010,Stylonychia_sp,276.719896,0.55,3,r1
b_303,20221010,Colpidium_striatum,1.484304,0.55,5,r1
b_303,20221010,Loxocephalus_sp,45.550072,0.55,5,r1
b_303,20221010,Paramecium_caudatum,697.657532,0.55,5,r1
b_303,20221010,Coleps_sp,46.056648,0.55,5,r1
b_303,20221010,Paramecium_bursaria,207.074084,0.55,5,r1
b_303,20221010,Stylonychia_sp,712.55396,0.55,5,r1
b_303,20221010,Euplotes_daidaleos,5.485984,0.55,5,r1
b_304,20221010,Euplotes_daidaleos,25.202288,0.55,8,r1
b_304,20221010,Colpidium_striatum,0,0.55,8,r1
b_304,20221010,Stylonychia_sp,609.425428,0.55,8,r1
b_304,20221010,Loxocephalus_sp,17.011176,0.55,8,r1
b_304,20221010,Paramecium_bursaria,564.938248,0.55,8,r1
b_304,20221010,Paramecium_caudatum,575.85162,0.55,8,r1
b_304,20221010,Coleps_sp,20.747588,0.55,8,r1
b_305,20221010,Colpidium_striatum,236.686832,0.55,1,r2
b_305,20221010,Stylonychia_sp,93.880364,0.55,1,r2
b_305,20221010,Loxocephalus_sp,1515.178592,0.55,1,r2
b_305,20221010,Paramecium_bursaria,29.605364,0.55,1,r2
b_305,20221010,Paramecium_caudatum,174.344948,0.55,1,r2
b_305,20221010,Coleps_sp,95.250292,0.55,1,r2
b_305,20221010,Euplotes_daidaleos,15.724152,0.55,1,r2
b_306,20221010,Coleps_sp,163.197064,0.55,3,r2
b_306,20221010,Euplotes_daidaleos,33.61072,0.55,3,r2
b_306,20221010,Colpidium_striatum,210.571448,0.55,3,r2
b_306,20221010,Stylonychia_sp,466.455964,0.55,3,r2
b_306,20221010,Loxocephalus_sp,748.67868,0.55,3,r2
b_306,20221010,Paramecium_bursaria,125.82498,0.55,3,r2
b_306,20221010,Paramecium_caudatum,354.765052,0.55,3,r2
b_307,20221010,Loxocephalus_sp,603.055536,0.55,5,r2
b_307,20221010,Colpidium_striatum,115.348184,0.55,5,r2
b_307,20221010,Paramecium_caudatum,748.632676,0.55,5,r2
b_307,20221010,Euplotes_daidaleos,26.180688,0.55,5,r2
b_307,20221010,Paramecium_bursaria,181.622292,0.55,5,r2
b_307,20221010,Coleps_sp,121.720448,0.55,5,r2
b_307,20221010,Stylonychia_sp,414.503236,0.55,5,r2
b_308,20221010,Coleps_sp,19.854508,0.55,8,r2
b_308,20221010,Paramecium_caudatum,647.5821,0.55,8,r2
b_308,20221010,Euplotes_daidaleos,26.379692,0.55,8,r2
b_308,20221010,Colpidium_striatum,1.13174,0.55,8,r2
b_308,20221010,Stylonychia_sp,487.38164,0.55,8,r2
b_308,20221010,Loxocephalus_sp,105.743464,0.55,8,r2
b_308,20221010,Paramecium_bursaria,478.238788,0.55,8,r2
b_309,20221010,Loxocephalus_sp,1333.352176,0.83,1,r1
b_309,20221010,Colpidium_striatum,344.45196,0.83,1,r1
b_309,20221010,Stylonychia_sp,137.075792,0.83,1,r1
b_309,20221010,Coleps_sp,96.268392,0.83,1,r1
b_309,20221010,Euplotes_daidaleos,17.044848,0.83,1,r1
b_309,20221010,Paramecium_bursaria,51.509896,0.83,1,r1
b_309,20221010,Paramecium_caudatum,216.304724,0.83,1,r1
b_310,20221010,Colpidium_striatum,129.840272,0.83,3,r1
b_310,20221010,Stylonychia_sp,355.8767,0.83,3,r1
b_310,20221010,Euplotes_daidaleos,30.130092,0.83,3,r1
b_310,20221010,Paramecium_bursaria,116.379048,0.83,3,r1
b_310,20221010,Coleps_sp,147.275796,0.83,3,r1
